name,price,location,condition,mileage
Ford Explorer 2016 Black,"₦ 20,370,000","Lagos State, Ojodu",Foreign Used,202974 km
Lexus ES 2010 Black,"₦ 8,400,000","Abuja (FCT), Garki 2",Local Used,318951 km
Lexus IS 2007 Red,"₦ 10,500,000","Lagos State, Lekki",Foreign Used,136162 km
Hyundai Elantra 2018 White,"₦ 12,476,415","Abuja (FCT), Kubwa",Foreign Used,61802 km
Toyota Corolla 2015 Silver,"₦ 16,640,000","Oyo State, Ibadan",Foreign Used,300613 km
Dongfeng Nammi 01 2025 Blue,"₦ 39,900,000","Lagos State, Lekki",Foreign Used,151 km
Lexus GX 2006 Gold,"₦ 7,875,000","Lagos State, Surulere",Local Used,198164 km
Lexus RX 350 2015 Red,"₦ 27,090,000","Lagos State, Amuwo-Odofin",Foreign Used,129316 km
Lexus RX 350 2014 Red,"₦ 23,625,000","Lagos State, Isolo",Foreign Used,97577 km
Lexus RX 350 2014 Gray,"₦ 29,120,000","Abuja (FCT), Lugbe District",Foreign Used,245514 km
Lexus RX 350 2016 Gold,"₦ 47,840,000","Lagos State, Ikeja",Foreign Used,64258 km
Land Rover Range Rover Velar 2018 Black,"₦ 52,500,000","Lagos State, Lekki",Foreign Used,82206 km
Toyota Corolla 2015 Silver,"₦ 15,600,000","Oyo State, Ibadan",Foreign Used,195309 km
Toyota Camry 2011 Silver,"₦ 12,168,000","Oyo State, Ibadan",Foreign Used,272706 km
Toyota Camry 2008 Black,"₦ 7,280,000","Lagos State, Alimosho",Local Used,135571 km
Jeep Patriot 2015 Red,"₦ 5,250,000","Lagos State, Ikeja",Local Used,156117 km
Toyota Sienna 2007 Gold,"₦ 5,880,000","Abuja (FCT), Gwarinpa",Local Used,202349 km
Toyota 4-Runner 2003 Black,"₦ 4,114,950","Abuja (FCT), Lugbe District",Local Used,96509 km
Toyota Camry 2009 Gray,"₦ 6,069,000","Lagos State, Ikeja",Local Used,185149 km
Toyota RAV4 2006 Gray,"₦ 7,280,000","Lagos State, Ajah",Local Used,353073 km
Ford Explorer 2013 Red,"₦ 9,672,000","Lagos State, Kosofe",Local Used,221807 km
Ford Edge 2012 Silver,"₦ 6,435,450","Abuja (FCT), Kubwa",Local Used,305185 km
Toyota Venza 2010 Black,"₦ 11,287,500","Lagos State, Surulere",Local Used,382749 km
Mercedes-Benz C300 2013 Black,"₦ 9,817,500","Lagos State, Yaba",Local Used,179393 km
Toyota Corolla 2014 Black,"₦ 7,875,000","Abuja (FCT), Lugbe District",Local Used,158715 km
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6AM) 2010 Green,"₦ 6,300,000","Lagos State, Lekki",Local Used,365745 km
Hyundai Santa Fe 2014 Black,"₦ 11,870,250","Lagos State, Lekki",Local Used,87963 km
Ford Edge 2011 Purple,"₦ 5,544,000","Lagos State, Alimosho",Local Used,202056 km
Toyota RAV4 2007 Black,"₦ 5,250,000","Abia State, Aba North",Local Used,207633 km
Toyota Venza 2012 Green,"₦ 18,480,000","Lagos State, Ojodu",Foreign Used,235800 km
Nissan Rogue 2012 Silver,"₦ 12,480,000","Lagos State, Ikeja",Foreign Used,217909 km
Ford Transit 2011 White,"₦ 8,925,000","Oyo State, Ibadan",Foreign Used,107916 km
Hyundai Santa Fe 2016 Blue,"₦ 13,650,000","Lagos State, Mushin",Local Used,135077 km
Lexus ES 2009 White,"₦ 7,434,000","Lagos State, Alimosho",Local Used,133226 km
Ford Escape 2013 Gold,"₦ 9,975,000","Lagos State, Ikotun/Igando",Foreign Used,310811 km
Hyundai Santa Fe 2014 Black,"₦ 13,650,000","Abuja (FCT), Kubwa",Local Used,183624 km
Mercedes-Benz GLK-Class 2013 Black,"₦ 21,525,000","Enugu State, Enugu",Foreign Used,220947 km
Toyota Camry 2013 Silver,"₦ 14,560,000","Oyo State, Ibadan",Foreign Used,234776 km
Lexus RX 350 2018 Blue,"₦ 48,300,000","Edo State, Benin City",Foreign Used,66545 km
Hyundai Tucson 2016 Black,"₦ 14,694,750","Abuja (FCT), Kubwa",Local Used,106046 km
Mercedes-Benz GL-Class 2012 Gray,"₦ 12,272,000","Abuja (FCT), Garki 2",Local Used,147109 km
Acura MDX 2004 Gray,"₦ 6,825,000","Oyo State, Ibadan",Foreign Used,144733 km
Lexus RX 350 2011 Gold,"₦ 15,434,998","Lagos State, Magodo",Foreign Used,202739 km
Dodge Caliber 2010 Blue,"₦ 7,140,000","Lagos State, Abule Egba",Foreign Used,176841 km
Lexus GX 2020 Black,"₦ 13,125,000","Rivers State, Port-Harcourt",Local Used,242640 km
Toyota Corolla 2009 Black,"₦ 7,800,000","Oyo State, Ibadan",Local Used,252437 km
Land Rover Lr3 2006 Black,"₦ 5,250,000","Abuja (FCT), Lugbe District",Local Used,128503 km
Toyota Camry 2014 Black,"₦ 7,875,000","Oyo State, Ibadan",Local Used,229367 km
Hyundai Sonata 2011 Blue,"₦ 6,825,000","Lagos State, Ilupeju",Local Used,69493 km
Lexus IS 2007 Red,"₦ 10,500,000","Lagos State, Lekki",Foreign Used,136162 km
Toyota Sienna LE AWD 2005 Gold,"₦ 4,515,000","Kaduna State, Kaduna / Kaduna State",Local Used,160932 km
Lexus IS 2008 White,"₦ 6,615,000","Enugu State, Enugu",Local Used,121304 km
Honda Odyssey 2007 White,"₦ 3,885,000","Lagos State, Ikorodu",Local Used,203578 km
Mercedes-Benz E350 2012 Silver,"₦ 7,665,000","Enugu State, Enugu",Local Used,223116 km
Acura MDX 2006 Red,"₦ 3,848,000","Lagos State, Abule Egba",Local Used,427366 km
Honda CR-V 2007 Green,"₦ 6,240,000","Lagos State, Lekki",Local Used,261984 km
Lexus ES 2005 Black,"₦ 4,872,000","Lagos State, Alimosho",Local Used,217217 km
Ford Edge 2008 Orange,"₦ 4,095,000","Lagos State, Kosofe",Local Used,139662 km
Acura ZDX Base AWD 2012 Black,"₦ 12,600,000","Lagos State, Ojodu",Local Used,240485 km
Mercedes-Benz E400 2020 Black,"₦ 72,450,000","Lagos State, Lekki",Foreign Used,51011 km
Mercedes-Benz E350 2012 Silver,"₦ 7,665,000","Enugu State, Enugu",Local Used,223116 km
Toyota FJ Cruiser 2007 Burgandy,"₦ 10,290,000","Lagos State, Ojodu",Local Used,168415 km
Mercedes-Benz C230 2008 Black,"₦ 7,875,000","Lagos State, Ajah",Local Used,165261 km
Toyota Corolla 1.8 LE 2008 Silver,"₦ 6,300,000","Lagos State, Lekki",Local Used,233048 km
Nissan Almera 2014 Gray,"₦ 6,300,000","Lagos State, Ogba",Local Used,216369 km
Peugeot 408 2011 Black,"₦ 5,250,000","Abuja (FCT), Jabi",Local Used,186216 km
Mercedes-Benz E350 Base 4dr Sedan RWD (3.5L 6cyl 7A) 2010 White,"₦ 10,500,000","Lagos State, Lekki",Local Used,345377 km
Toyota Camry 2010 Gray,"₦ 6,693,750","Lagos State, Ikeja",Local Used,362230 km
Ford Edge 2009 Black,"₦ 3,990,000","Lagos State, Yaba",Local Used,243019 km
Acura MDX 2008 Gray,"₦ 7,072,000","Abuja (FCT), Wuse",Local Used,164271 km
Toyota Corolla 2005 Red,"₦ 4,620,000","Lagos State, Yaba",Local Used,408954 km
Dodge Charger 2009 Black,"₦ 6,825,000","Oyo State, Ibadan",Local Used,107607 km
Mercedes-Benz GLE-Class 2021 White,"₦ 50,400,000","Abuja (FCT), Gwarinpa",Foreign Used,23880 km
Cadillac XTS 2016 Gray,"₦ 25,200,000","Lagos State, Lekki",Local Used,53084 km
Cadillac XTS 2016 Gray,"₦ 25,200,000","Lagos State, Lekki",Local Used,53084 km
Land Rover Range Rover 2020 Black,"₦ 54,600,000","Abuja (FCT), Wuse",Local Used,51244 km
Volvo S60 2001 Silver,"₦ 5,775,000","Abuja (FCT), Gwarinpa",Local Used,261375 km
Toyota Avalon 2014 Black,"₦ 11,550,000","Lagos State, Lekki",Local Used,239481 km
Toyota RAV4 2008 Blue,"₦ 7,350,000","Lagos State, Alimosho",Local Used,55653 km
Land Rover Range Rover Sport 2012 Black,"₦ 6,825,000","Oyo State, Ibadan",Local Used,128480 km
Toyota Camry 2012 Gray,"₦ 8,400,000","Lagos State, Ojodu",Local Used,247548 km
Ford Edge 2009 Silver,"₦ 4,410,000","Lagos State, Surulere",Local Used,206246 km
Mercedes-Benz GL-Class GL550 4MATIC 4dr SUV AWD (4.7L 8cyl Turbo 7A),"₦ 31,200,000","Lagos State, Ikeja",Local Used,35588 km
Toyota Sienna Limited 7-Passenger 4dr Minivan AWD (3.5L 6cyl 6A) 2014,"₦ 10,509,262","Lagos State, Ogba",Local Used,114496 km
Toyota Avalon 2013 Gray,"₦ 11,550,000","Lagos State, Abule Egba",Local Used,155825 km
Toyota Camry 2005 Red,"₦ 4,053,000","Lagos State, Ogudu",Local Used,417623 km
Toyota Corolla 2005 Red,"₦ 4,620,000","Lagos State, Yaba",Local Used,408954 km
Mercedes-Benz C300 2010 Black,"₦ 6,961,500","Lagos State, Ilupeju",Local Used,228217 km
Toyota Avensis 2003 Green,"₦ 8,715,000","Lagos State, Ikeja",Foreign Used,134196 km
Toyota Camry 2017 Gray,"₦ 12,600,000","Abuja (FCT), Wuse",Local Used,135837 km
Kia Forte 2010 White,"₦ 5,250,000","Lagos State, Ikeja",Local Used,164880 km
Honda Jazz 2006 Green,"₦ 6,300,000","Abuja (FCT), Kubwa",Local Used,299174 km
Toyota Venza 2010 Gray,"₦ 9,975,000","Oyo State, Ibadan",Local Used,170816 km
Land Rover Range Rover 2010 Purple,"₦ 8,400,000","Lagos State, Ikoyi",Local Used,94234 km
Toyota Camry 2009 Gray,"₦ 5,670,000","Abuja (FCT), Gwarinpa",Local Used,127307 km
Toyota Camry 2015 Black,"₦ 11,655,000","Lagos State, Ojodu",Local Used,325675 km
Toyota Camry 2008 Silver,"₦ 5,775,000","Lagos State, Alimosho",Local Used,62997 km
Toyota Camry 2013 Silver,"₦ 14,560,000","Oyo State, Ibadan",Foreign Used,234776 km
Nissan Almera 2016 Gray,"₦ 5,250,000","Kaduna State, Kachia",Local Used,179246 km
Toyota Matrix 2006 Gold,"₦ 3,885,000","Oyo State, Ibadan",Local Used,213938 km
Nissan Sentra 2015 Gray,"₦ 4,725,000","Rivers State, Port-Harcourt",Local Used,91892 km
Lexus ES 2014 Gray,"₦ 21,000,000","Oyo State, Ibadan",Foreign Used,281581 km
Hyundai Tucson 2021 Black,"₦ 30,450,000","Lagos State, Yaba",Local Used,42277 km
BMW X3 2014 White,"₦ 14,490,000","Lagos State, Amuwo-Odofin",Local Used,494073 km
Toyota Camry 2007 Green,"₦ 6,503,333","Lagos State, Ikeja",Local Used,177286 km
Mercedes-Benz CLS 2012 White,"₦ 21,000,000","Lagos State, Lekki",Local Used,62353 km
Mercedes-Benz R-Class R 350 4MATIC AWD 2006 Silver,"₦ 9,975,000","Lagos State, Magodo",Foreign Used,246180 km
Kia Sorento 2011 Gray,"₦ 6,825,000","Lagos State, Ogba",Local Used,123175 km
Hyundai Sonata GLS Sedan FWD (2.4L 4cyl 6A) 2011 Gray,"₦ 6,153,000","Lagos State, Ikorodu",Local Used,118323 km
Toyota Highlander 2012 Black,"₦ 15,600,000","Lagos State, Isolo",Local Used,181073 km
