name,price,location,condition,mileage
Mercedes-Benz E300 2017 Silver,"₦ 27,300,000","Abuja (FCT), Gwarinpa",Local Used,245490 km
Hyundai Sonata 2011 Black,"₦ 7,800,000","Abuja (FCT), Jabi",Local Used,131558 km
Mercedes-Benz CLS 2013 Black,"₦ 19,950,000","Lagos State, Lekki",Local Used,96359 km
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2013 White,"₦ 10,400,000","Lagos State, Lekki",Local Used,158841 km
Lexus RX 330 2005 White,"₦ 8,400,000","Abuja (FCT), Lugbe District",Local Used,432817 km
Toyota RAV4 2011 Silver,"₦ 8,400,000","Lagos State, Ikoyi",Local Used,146393 km
Pontiac Vibe 2003 Gray,"₦ 4,725,000","Kano State, Gwale",Local Used,278146 km
Toyota RAV4 2018 Black,"₦ 18,900,000","Akwa Ibom State, Uyo",Foreign Used,89768 km
Ford Escape 2013 Gold,"₦ 9,975,000","Lagos State, Ikotun/Igando",Foreign Used,310811 km
Ford Explorer XLT 4dr SUV (3.5L 6cyl 6A) 2015 Black,"₦ 10,867,500","Lagos State, Lekki",Local Used,136324 km
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2013 Silver,"₦ 15,225,000","Lagos State, Lekki",Foreign Used,191632 km
Lexus RX 350 2016 White,"₦ 41,055,000","Lagos State, Isolo",Foreign Used,135702 km
Toyota Corolla 2011 Blue,"₦ 6,090,000","Lagos State, Ikeja",Local Used,137234 km
Honda Accord 2012 Red,"₦ 5,250,000","Ondo State, Akure",Local Used,192126 km
Mercedes-Benz E43 AMG 2018 Gray,"₦ 67,600,000","Abuja (FCT), Wuse",Foreign Used,135411 km
Toyota Matrix 2005 Silver,"₦ 5,250,000","Lagos State, Ikeja",Local Used,294553 km
Mazda MPV 2003 Black,"₦ 4,515,000","Lagos State, Ilupeju",Local Used,317448 km
Mercedes-Benz C300 2015 Black,"₦ 17,325,000","Lagos State, Lekki",Foreign Used,80467 km
Toyota Camry 2004 Gray,"₦ 6,825,000","Lagos State, Ikorodu",Foreign Used,339124 km
Toyota Camry 2010 White,"₦ 6,825,000","Lagos State, Ikeja",Local Used,258390 km
Toyota RAV4 2009 White,"₦ 9,975,000","Ogun State, Abeokuta North",Foreign Used,507449 km
Seat Alhambra 2000 Blue,"₦ 9,562,500","Kaduna State, Kachia",Foreign Used,165890 km
Toyota Sienna 2005 Burgandy,"₦ 7,312,500","Abuja (FCT), Jabi",Local Used,178695 km
Toyota Corolla 2005 Silver,"₦ 5,962,500","Oyo State, Ibadan",Local Used,150714 km
Toyota Sienna LE 2009 Gold,"₦ 11,812,500","Imo State, Owerri",Foreign Used,127670 km
Toyota Land Cruiser Prado 2007 Black,"₦ 13,500,000","Lagos State, Lekki",Local Used,144385 km
Toyota Land Cruiser Prado 2007 Black,"₦ 13,500,000","Lagos State, Lekki",Local Used,87361 km
Toyota Tacoma 2005 Blue,"₦ 13,500,000","Abuja (FCT), Garki 2",Local Used,215925 km
Toyota Land Cruiser Prado 2007 Black,"₦ 11,250,000","Lagos State, Lekki",Local Used,78265 km
Mercedes-Benz E350 2014 Silver,"₦ 25,875,000","Abuja (FCT), Garki 2",Foreign Used,207857 km
Mercedes-Benz E350 2006 Black,"₦ 5,625,000","Abuja (FCT), Kubwa",Local Used,159226 km
Toyota Camry 2004 Gray,"₦ 4,162,500","Abuja (FCT), Lugbe District",Local Used,329620 km
Toyota Camry 2018 Black,"₦ 27,000,000","Abuja (FCT), Gwarinpa",Local Used,65676 km
Toyota Land Cruiser Prado 2012 Black,"₦ 33,750,000","Abuja (FCT), Gwarinpa",Local Used,238357 km
Toyota Highlander 2018 Green,"₦ 45,000,000","Lagos State, Ikeja",Foreign Used,118152 km
Toyota Highlander 2011 Burgandy,"₦ 19,687,500","Lagos State, Ilupeju",Foreign Used,172836 km
Honda City 2007 Black,"₦ 3,037,500","Lagos State, Mushin",Local Used,205727 km
Hyundai Accent 2012 Gray,"₦ 5,625,000","Lagos State, Ikeja",Local Used,79532 km
Lexus GX 2015 Brown,"₦ 38,480,000","Abuja (FCT), Kubwa",Local Used,208984 km
Toyota Avalon XLE FWDSedan (3.6L 6cyl 6A) 2016 Gray,"₦ 21,993,750","Lagos State, Lekki",Foreign Used,182540 km
Toyota Camry 2007 Black,"₦ 6,075,000","Rivers State, Port-Harcourt",Local Used,171872 km
Lexus GX 460 Premium 2012 Brown,"₦ 30,680,000","Rivers State, Port-Harcourt",Local Used,172270 km
Toyota Sienna LE 3dr 2000 Brown,"₦ 5,720,000","Lagos State, Ikorodu",Local Used,243898 km
Hyundai Sonata 2014 Gray,"₦ 12,390,000","Abuja (FCT), Gwarinpa",Foreign Used,171596 km
Ford Explorer 2016 White,"₦ 20,160,000","Lagos State, Alimosho",Foreign Used,147533 km
Toyota Venza 2013 White,"₦ 20,475,000","Oyo State, Ibadan",Foreign Used,206686 km
Toyota Yaris 2018 Red,"₦ 12,600,000","Lagos State, Ikoyi",Local Used,109487 km
Toyota Highlander 2021 White,"₦ 62,156,250","Lagos State, Ogba",Foreign Used,289267 km
Hyundai Sonata 2011 White,"₦ 11,500,000","Lagos State, Ikeja",Foreign Used,287486 km
Lexus ES 2010 Black,"₦ 8,400,000","Abuja (FCT), Garki 2",Local Used,318951 km
Lexus RX 350 2015 Red,"₦ 27,090,000","Lagos State, Amuwo-Odofin",Foreign Used,129316 km
Lexus GX 2006 Gold,"₦ 7,875,000","Lagos State, Surulere",Local Used,198164 km
Lexus RX 350 2014 Red,"₦ 23,625,000","Lagos State, Isolo",Foreign Used,97577 km
Toyota Corolla 2015 Silver,"₦ 15,600,000","Oyo State, Ibadan",Foreign Used,195309 km
Lexus RX 2012 Black,"₦ 22,050,000","Rivers State, Port-Harcourt",Foreign Used,128889 km
Toyota Land Cruiser Prado 2021 Black,"₦ 67,383,750","Abuja (FCT), Wuse",Local Used,61559 km
Hyundai Santa Fe 2016 Blue,"₦ 13,650,000","Lagos State, Mushin",Local Used,135077 km
Lexus ES 2009 White,"₦ 7,434,000","Lagos State, Alimosho",Local Used,133226 km
Lexus ES 2009 White,"₦ 7,434,000","Lagos State, Alimosho",Local Used,133226 km
Hyundai Santa Fe 2016 Blue,"₦ 13,650,000","Lagos State, Mushin",Local Used,135077 km
Mercedes-Benz GLC-Class 2016 White,"₦ 36,400,000","Lagos State, Ikeja",Foreign Used,239199 km
Lexus RX 350 2010 Gray,"₦ 15,750,000","Ondo State, Akure",Local Used,221731 km
Ford Fusion 2014 Black,"₦ 14,560,000","Lagos State, Ojodu",Foreign Used,376685 km
Toyota Venza 2014 Black,"₦ 13,125,000","Abuja (FCT), Garki 2",Local Used,75971 km
Lexus ES 2013 Silver,"₦ 23,920,000","Lagos State, Amuwo-Odofin",Foreign Used,193273 km
Lexus RX 350 2010 Black,"₦ 17,680,000","Abuja (FCT), Lugbe District",Local Used,203995 km
Lexus GX 2012 Black,"₦ 40,560,000","Lagos State, Abule Egba",Foreign Used,330210 km
Toyota Avalon 2013 White,"₦ 21,840,000","Lagos State, Isolo",Foreign Used,138007 km
Mercedes-Benz GLC-Class 2018 Black,"₦ 44,100,000","Abuja (FCT), Gwarinpa",Foreign Used,107605 km
Toyota Hilux 2005 White,"₦ 15,750,000","Lagos State, Abule Egba",Local Used,186037 km
Hyundai Sonata 2015 White,"₦ 15,225,000","Abuja (FCT), Gwarinpa",Foreign Used,106754 km
Mercedes-Benz M Class 2012 Black,"₦ 24,150,000","Lagos State, Lekki",Foreign Used,390879 km
Toyota Sienna 2006 Gold,"₦ 5,625,000","Rivers State, Port-Harcourt",Local Used,191853 km
Hyundai Santa Fe 2015 Gray,"₦ 18,900,000","Lagos State, Ojodu",Foreign Used,129086 km
Toyota Highlander 2015 Black,"₦ 31,200,000","Lagos State, Ogba",Foreign Used,149160 km
Toyota Camry 2017 Blue,"₦ 18,720,000","Lagos State, Isolo",Foreign Used,480056 km
Lexus LX 2021 Gray,"₦ 124,800,000","Lagos State, Ikoyi",Local Used,55925 km
Honda Accord EX-L V-6 4dr Sedan FWD (3.5L 6cyl 6A) 2016 White,"₦ 20,280,000","Kaduna State, Kaduna / Kaduna State",Foreign Used,410951 km
Toyota RAV4 2018 White,"₦ 26,250,000","Lagos State, Ikorodu",Foreign Used,740231 km
Toyota Camry 2012 White,"₦ 13,545,000","Oyo State, Ibadan",Foreign Used,258764 km
Mercedes-Benz M Class 2013 Black,"₦ 28,125,000","Lagos State, Isolo",Foreign Used,243221 km
Hyundai Sonata Sport 2.0T 4dr Sedan (2.0L 4cyl Turbo 6A) 2015 Black,"₦ 16,640,000","Lagos State, Amuwo-Odofin",Foreign Used,175154 km
Lexus ES 350 2007 Gray,"₦ 7,560,000","Akwa Ibom State, Uyo",Local Used,104431 km
Toyota Corolla 2005 Silver,"₦ 5,408,000","Oyo State, Ibadan",Local Used,184618 km
Mercedes-Benz GLK-Class 2012 White,"₦ 11,550,000","Lagos State, Ajah",Local Used,293496 km
Mercedes-Benz M Class 2007 Silver,"₦ 14,062,500","Lagos State, Lekki",Foreign Used,245981 km
Toyota Venza 2016 Silver,"₦ 26,000,000","Lagos State, Lekki",Foreign Used,101327 km
Hyundai Sonata 2013 Gray,"₦ 12,937,500","Lagos State, Lekki",Foreign Used,136890 km
Hyundai Sonata 2013 Gray,"₦ 12,937,500","Lagos State, Lekki",Foreign Used,136890 km
Toyota Camry 2008 Silver,"₦ 6,760,000","Lagos State, Ojodu",Local Used,72787 km
Lexus RX 300 2000 Black,"₦ 6,240,000","Oyo State, Ibadan",Local Used,220667 km
Toyota Land Cruiser Prado 2013 Black,"₦ 41,600,000","Lagos State, Ikeja",Local Used,53633 km
Honda CR-V 2021 White,"₦ 41,600,000","Lagos State, Ogudu",Foreign Used,51508 km
Mercedes-Benz E200 2016 Silver,"₦ 28,350,000","Abuja (FCT), Gwarinpa",Local Used,121124 km
Mercedes-Benz GLE-Class 2020 White,"₦ 90,480,000","Lagos State, Alimosho",Foreign Used,47895 km
Lexus ES 2003 Black,"₦ 5,000,000","Lagos State, Abule Egba",Local Used,278772 km
Mercedes-Benz M Class 2015 Black,"₦ 26,075,874","Lagos State, Lekki",Foreign Used,227401 km
BMW 535i 2012 Black,"₦ 12,600,000","Abuja (FCT), Garki 2",Local Used,266843 km
Toyota Camry 2007 Gray,"₦ 10,920,000","Lagos State, Isolo",Foreign Used,105624 km
Honda Accord 2013 Gray,"₦ 14,600,000","Lagos State, Ikeja",Foreign Used,311405 km
Toyota Corolla 2014 Silver,"₦ 14,700,000","Lagos State, Ikeja",Foreign Used,260915 km
Lexus GS 2014 Black,"₦ 18,900,000","Lagos State, Isolo",Foreign Used,128212 km
Mercedes-Benz GLC-Class 2016 Blue,"₦ 31,500,000","Lagos State, Ajah",Local Used,142141 km
Acura RDX 2007 Gray,"₦ 8,925,000","Lagos State, Amuwo-Odofin",Local Used,196369 km
Toyota Corolla 2009 Black,"₦ 8,320,000","Abuja (FCT), Lugbe District",Local Used,163825 km
Toyota Venza 2011 Red,"₦ 21,112,000","Lagos State, Ogba",Foreign Used,110434 km
Toyota Corolla 2009 Black,"₦ 7,350,000","Lagos State, Ikeja",Local Used,284801 km
Nissan Altima 2008 Beige,"₦ 11,550,000","Abuja (FCT), Lugbe District",Local Used,243345 km
Nissan Sentra 2014 Black,"₦ 6,300,000","Lagos State, Ikeja",Local Used,249549 km
Hyundai Sonata 2014 Gray,"₦ 13,832,000","Lagos State, Abule Egba",Foreign Used,128941 km
Mercedes-Benz M Class 2013 White,"₦ 20,250,000","Lagos State, Lekki",Local Used,106480 km
Land Rover Discovery Sport 2017 Black,"₦ 40,950,000","Lagos State, Isolo",Foreign Used,94600 km
Hyundai Entourage 2007 Silver,"₦ 5,250,000","Ondo State, Akure",Local Used,171861 km
Mercedes-Benz GLE-Class 2016 Black,"₦ 42,000,000","Lagos State, Amuwo-Odofin",Foreign Used,261817 km
Toyota Highlander 2018 Burgandy,"₦ 36,750,000","Abuja (FCT), Lugbe District",Foreign Used,162926 km
Toyota Corolla 2015 Red,"₦ 12,150,000","Oyo State, Ibadan",Local Used,163748 km
Infiniti FX35 2009 Gray,"₦ 10,500,000","Lagos State, Ikeja",Local Used,301904 km
Mercedes-Benz C300 2015 Black,"₦ 16,700,000","Lagos State, Ajah",Local Used,208745 km
Hyundai Sonata 2014 Black,"₦ 13,312,000","Lagos State, Ikoyi",Foreign Used,144708 km
Lexus ES 350 2010 Blue,"₦ 9,000,000","Abuja (FCT), Lugbe District",Local Used,80962 km
Toyota Camry 2009 Black,"₦ 7,072,000","Rivers State, Port-Harcourt",Local Used,269858 km
Nissan Sunny 2005 Blue,"₦ 4,200,000","Abuja (FCT), Jabi",Local Used,211056 km
Toyota Camry 2012 Black,"₦ 13,650,000","Lagos State, Isolo",Foreign Used,186617 km
Honda CR-V 2012 Green,"₦ 16,800,000","Lagos State, Amuwo-Odofin",Foreign Used,303543 km
Toyota Corolla 2011 Black,"₦ 7,350,000","Lagos State, Ikeja",Local Used,188598 km
Honda Accord 2009 Gold,"₦ 10,608,000","Lagos State, Ikotun/Igando",Foreign Used,187944 km
Toyota C-HR 2020 Blue,"₦ 36,000,000","Oyo State, Ibadan",Foreign Used,148917 km
Toyota Corolla 2015 Red,"₦ 15,600,000","Oyo State, Ibadan",Foreign Used,228262 km
Mercedes-Benz M Class 2009 Silver,"₦ 9,000,000","Abuja (FCT), Garki 2",Local Used,131072 km
Land Rover Lr4 2011 Black,"₦ 24,675,000","Oyo State, Ibadan",Local Used,259948 km
Toyota Corolla 2015 Blue,"₦ 15,600,000","Lagos State, Ogudu",Foreign Used,286383 km
Mercedes-Benz GLE-Class 2018 Red,"₦ 50,625,000","Lagos State, Isolo",Foreign Used,134398 km
Mercedes-Benz GLE-Class 2018 Red,"₦ 50,625,000","Lagos State, Isolo",Foreign Used,134398 km
Lexus RX 330 2004 Silver,"₦ 9,000,000","Lagos State, Isolo",Local Used,195799 km
Lexus GS 2008 White,"₦ 5,775,000","Lagos State, Ikoyi",Local Used,134587 km
Kia Rio 2023 Blue,"₦ 17,850,000","Lagos State, Ogudu",Local Used,7927 km
Ford Explorer 2012 Silver,"₦ 8,085,000","Lagos State, Isolo",Local Used,92241 km
Lexus RX 350 2017 Silver,"₦ 29,400,000","Oyo State, Ibadan",Local Used,152520 km
Toyota Highlander 2019 Gray,"₦ 46,125,000","Lagos State, Surulere",Foreign Used,100854 km
Toyota Camry 2009 Gray,"₦ 11,440,000","Lagos State, Abule Egba",Foreign Used,152618 km
Lexus RX 350 2017 Black,"₦ 52,000,000","Lagos State, Lekki",Foreign Used,157356 km
Honda Accord 2009 Black,"₦ 4,830,000","Rivers State, Port-Harcourt",Local Used,240949 km
Toyota Corolla 1.8 TS 2004 Silver,"₦ 4,725,000","Lagos State, Lekki",Local Used,387850 km
Hyundai Sonata 2011 Black,"₦ 8,775,000","Abuja (FCT), Wuse",Local Used,150738 km
Toyota Camry 2004 Silver,"₦ 8,320,000","Lagos State, Ogudu",Foreign Used,155479 km
Hyundai Sonata 2012 Black,"₦ 14,625,000","Lagos State, Ikotun/Igando",Foreign Used,191939 km
Lexus RX 350 2010 Silver,"₦ 15,750,000","Lagos State, Ikeja",Local Used,131581 km
Honda Accord 2014 Black,"₦ 9,030,000","Lagos State, Surulere",Local Used,211410 km
Toyota Highlander 2008 Black,"₦ 9,975,000","Oyo State, Ibadan",Local Used,101349 km
Hyundai Sonata 2016 White,"₦ 14,647,500","Lagos State, Kosofe",Foreign Used,137690 km
Lexus ES 2013 Black,"₦ 24,750,000","Lagos State, Ilupeju",Foreign Used,186696 km
Hyundai Santa Fe 2013 Black,"₦ 18,562,500","Abuja (FCT), Jabi",Foreign Used,96117 km
Toyota Corolla 2010 Black,"₦ 8,112,000","Oyo State, Ibadan",Local Used,267565 km
Toyota Avalon 2013 White,"₦ 17,850,000","Lagos State, Ajah",Foreign Used,169807 km
Hyundai Elantra 2020 Gray,"₦ 13,125,000","Lagos State, Ikoyi",Local Used,83278 km
Toyota Corolla 2017 Red,"₦ 14,560,000","Lagos State, Ikeja",Local Used,244341 km
Mercedes-Benz GLK-Class 2013 Black,"₦ 13,387,498","Lagos State, Ilupeju",Local Used,80152 km
Toyota Corolla 2010 Black,"₦ 7,800,000","Abuja (FCT), Garki 2",Local Used,504603 km
Toyota Corolla 2016 Red,"₦ 18,562,500","Abuja (FCT), Kubwa",Foreign Used,217619 km
Toyota Camry 2010 Silver,"₦ 9,975,000","Lagos State, Ojodu",Foreign Used,162281 km
Toyota Fortuner 2018 Black,"₦ 35,700,000","Rivers State, Port-Harcourt",Local Used,72275 km
Lexus IS 350 2007 White,"₦ 8,840,000","Akwa Ibom State, Uyo",Local Used,172929 km
Toyota Fortuner 2018 Black,"₦ 35,700,000","Rivers State, Port-Harcourt",Local Used,72275 km
Lexus IS 350 2007 White,"₦ 8,840,000","Akwa Ibom State, Uyo",Local Used,172929 km
Ford F-150 2004 White,"₦ 7,140,000","Oyo State, Ibadan",Local Used,278312 km
Toyota Camry 2007 Gray,"₦ 5,250,000","Lagos State, Ikorodu",Local Used,118523 km
Toyota Highlander 2015 Gray,"₦ 30,680,000","Kaduna State, Kachia",Foreign Used,80553 km
Acura MDX 2015 White,"₦ 20,800,000","Lagos State, Magodo",Foreign Used,320517 km
Ford Ranger 2003 Blue,"₦ 3,675,000","Oyo State, Ibadan",Local Used,281026 km
Toyota Avensis 2010 Gray,"₦ 11,250,000","Abuja (FCT), Garki 2",Local Used,373789 km
Honda Accord 2017 Black,"₦ 19,950,000","Abuja (FCT), Jabi",Foreign Used,159284 km
Toyota Altezza 2005 Black,"₦ 9,240,000","Lagos State, Isolo",Foreign Used,102388 km
Honda Pilot 2011 Burgandy,"₦ 13,387,500","Lagos State, Surulere",Foreign Used,280253 km
Toyota Sequoia 2007 Blue,"₦ 9,975,000","Lagos State, Yaba",Local Used,176032 km
Mercedes-Benz GLK-Class 350 4MATIC 2010 White,"₦ 12,480,000","Lagos State, Ajah",Local Used,119379 km
Toyota Avalon 2005 Black,"₦ 4,200,000","Oyo State, Ibadan",Local Used,188400 km
Toyota Camry XLE 4dr Sedan (2.4L 4cyl 5A) 2007 Red,"₦ 6,384,000","Lagos State, Lekki",Local Used,189581 km
Toyota Camry XLE 4dr Sedan (2.4L 4cyl 5A) 2007 Red,"₦ 6,384,000","Lagos State, Lekki",Local Used,189581 km
Toyota Camry 2010 Silver,"₦ 5,775,000","Oyo State, Ibadan",Local Used,294502 km
Toyota Camry 2008 Red,"₦ 7,875,000","Abuja (FCT), Lugbe District",Local Used,165578 km
Toyota Highlander 2003 Silver,"₦ 5,824,000","Rivers State, Port-Harcourt",Local Used,204849 km
Toyota Highlander 2014 Blue,"₦ 23,920,000","Ogun State, Abeokuta North",Local Used,158107 km
Toyota RAV4 2010 Black,"₦ 9,360,000","Edo State, Benin City",Local Used,112899 km
Ford Edge 2013 Silver,"₦ 7,425,000","Lagos State, Ilupeju",Local Used,195789 km
Toyota Avalon 2000 Gold,"₦ 4,410,000","Lagos State, Ilupeju",Local Used,246295 km
Toyota Camry 2007 Blue,"₦ 5,250,000","Oyo State, Ibadan",Local Used,183932 km
Toyota RAV4 2024 Silver,"₦ 72,800,000","Oyo State, Ibadan",Foreign Used,16115 km
Toyota Avalon XLE Sedar FWD (3.5L 6cyl 6A) 2013 White,"₦ 14,040,000","Lagos State, Ajah",Local Used,140303 km
Mercedes-Benz GLK-Class 2012 Black,"₦ 11,130,000","Lagos State, Surulere",Local Used,966635 km
Mercedes-Benz C300 2015 Silver,"₦ 18,720,000","Abuja (FCT), Lugbe District",Local Used,97825 km
Toyota Highlander 2019 Black,"₦ 35,700,000","Lagos State, Yaba",Foreign Used,124604 km
Mercedes-Benz C300 Sport 4Matic Sedan AWD (3.0L 6cyl 7A) 2012 Brown,"₦ 8,347,500","Lagos State, Lekki",Local Used,150812 km
Toyota Highlander 2005 Red,"₦ 5,460,000","Lagos State, Abule Egba",Local Used,194026 km
Mercedes-Benz E350 2004 Blue,"₦ 4,830,000","Enugu State, Enugu",Local Used,269774 km
Lexus GS 2007 Silver,"₦ 10,794,000","Abuja (FCT), Gwarinpa",Foreign Used,76558 km
Lexus ES 350 2007 Blue,"₦ 6,300,000","Lagos State, Lekki",Local Used,148110 km
Toyota Camry 2003 Green,"₦ 3,780,000","Oyo State, Ibadan",Local Used,154087 km
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2016 Silver,"₦ 30,160,000","Imo State, Owerri",Local Used,142338 km
Honda CR-V 2019 Black,"₦ 32,550,000","Oyo State, Ibadan",Foreign Used,100800 km
Mercedes-Benz GLE-Class AMG GLE 53 4MATIC 2024 Black,"₦ 226,800,000","Lagos State, Lekki",Foreign Used,59759 km
Kia Optima 2009 Black,"₦ 5,775,000","Abuja (FCT), Kubwa",Local Used,169297 km
Infiniti G 2011 Gray,"₦ 7,035,000","Lagos State, Ikoyi",Local Used,128597 km
Hyundai Ix35 2014 Gray,"₦ 8,400,000","Rivers State, Port-Harcourt",Local Used,100691 km
Scion xB Base 2008 Black,"₦ 6,825,000","Akwa Ibom State, Uyo",Local Used,431195 km
Honda Accord Crosstour 2010 Gray,"₦ 7,350,000","Oyo State, Ibadan",Local Used,107927 km
Rover Land 2018 Gray,"₦ 57,750,000","Abuja (FCT), Garki 2",Local Used,82546 km
Land Rover Range Rover Sport 2014 White,"₦ 28,080,000","Lagos State, Lekki",Local Used,123338 km
Land Rover Range Rover Sport 2014 White,"₦ 28,080,000","Lagos State, Lekki",Local Used,123338 km
Toyota C-HR 2018 Red,"₦ 31,500,000","Lagos State, Alimosho",Local Used,157094 km
Honda CR-V 2011 Black,"₦ 6,825,000","Lagos State, Ikeja",Local Used,142871 km
Land Rover Range Rover Velar 2021 Gray,"₦ 78,750,000","Lagos State, Ikeja",Foreign Used,38762 km
New Toyota Corolla Cross 2025 Black,"₦ 51,450,000","Delta State, Warri",Brand New,404 km
Mercedes-Benz E350 Base 4Matic Sedan AWD (3.5L 6cyl 7A) 2011 White,"₦ 14,700,000","Rivers State, Port-Harcourt",Local Used,157974 km
Toyota Sienna 2008 Blue,"₦ 10,500,000","Lagos State, Ogba",Foreign Used,196567 km
Toyota HiAce 2008 White,"₦ 21,000,000","Lagos State, Lekki",Local Used,210597 km
Honda Accord 2.0 Comfort Automatic 2008 Gray,"₦ 5,408,000","Lagos State, Ikorodu",Local Used,76503 km
Mercedes-Benz C180 2001 Silver,"₦ 13,650,000","Lagos State, Isolo",Foreign Used,91297 km
Jeep Compass 2012 Red,"₦ 6,300,000","Lagos State, Ojodu",Local Used,275470 km
Mercedes-Benz C300 2008 Silver,"₦ 5,880,000","Lagos State, Abule Egba",Local Used,146874 km
Toyota Highlander 2010 Gray,"₦ 14,062,500","Ondo State, Akure",Local Used,207715 km
Ford Explorer 2016 Blue,"₦ 13,500,000","Lagos State, Lekki",Local Used,114998 km
Toyota Highlander 2003 Silver,"₦ 5,824,000","Rivers State, Port-Harcourt",Local Used,204849 km
Hyundai Tucson 2016 Black,"₦ 14,694,750","Abuja (FCT), Kubwa",Local Used,106046 km
BMW 535i 2011 Black,"₦ 26,250,000","Lagos State, Lekki",Foreign Used,245680 km
Toyota Corolla 2015 Black,"₦ 14,175,000","Lagos State, Ojodu",Foreign Used,246766 km
Toyota Corolla 2005 Red,"₦ 5,408,000","Lagos State, Abule Egba",Local Used,299999 km
Toyota Highlander 2007 Blue,"₦ 5,250,000","Lagos State, Abule Egba",Local Used,266381 km
Ford Explorer 2016 Black,"₦ 20,370,000","Lagos State, Ojodu",Foreign Used,202974 km
Lexus RX 350 2018 Blue,"₦ 48,300,000","Edo State, Benin City",Foreign Used,66545 km
Toyota Corolla 2013 White,"₦ 12,600,000","Oyo State, Ibadan",Foreign Used,148851 km
Lexus GX 2009 Black,"₦ 7,875,000","Lagos State, Ogba",Local Used,150845 km
Hyundai Sonata 2018 Blue,"₦ 15,750,000","Lagos State, Isolo",Local Used,97666 km
Toyota Sienna 2013 White,"₦ 16,065,000","Lagos State, Ojodu",Foreign Used,137611 km
Toyota RAV4 2010 Black,"₦ 14,560,000","Lagos State, Isolo",Foreign Used,121631 km
Mercedes-Benz GL-Class 2008 Black,"₦ 7,140,000","Lagos State, Lekki",Local Used,306260 km
Mitsubishi L200 2020 White,"₦ 19,950,000","Lagos State, Abule Egba",Local Used,66575 km
Toyota Sienna 2004 White,"₦ 12,375,000","Enugu State, Enugu",Foreign Used,380466 km
Toyota Corolla 2009 Gold,"₦ 6,825,000","Abuja (FCT), Gwarinpa",Local Used,221103 km
Honda Accord 2014 Black,"₦ 11,440,000","Lagos State, Yaba",Local Used,126479 km
Nissan Xterra 2002 Black,"₦ 5,250,000","Rivers State, Port-Harcourt",Local Used,183724 km
Lexus RX 350 2008 White,"₦ 8,400,000","Ondo State, Akure",Local Used,200440 km
Toyota Corolla 2012 Black,"₦ 6,357,750","Lagos State, Yaba",Local Used,105625 km
Toyota Sienna 2004 White,"₦ 12,375,000","Enugu State, Enugu",Foreign Used,380466 km
Honda CR-V 2011 Gray,"₦ 8,400,000","Abuja (FCT), Garki 2",Local Used,282732 km
Dodge Caliber 2010 Blue,"₦ 7,140,000","Lagos State, Abule Egba",Foreign Used,176841 km
Toyota Camry 2009 Beige,"₦ 9,450,000","Lagos State, Isolo",Foreign Used,247816 km
Lexus LX LX 600 2025 Black,"₦ 357,000,000","Lagos State, Magodo",Foreign Used,14020 km
BMW 530i 2007 Black,"₦ 11,550,000","Abuja (FCT), Garki 2",Local Used,999999 km
Honda Pilot 2011 Black,"₦ 12,089,700","Abuja (FCT), Kubwa",Foreign Used,101239 km
Toyota Camry 2011 Black,"₦ 6,552,000","Lagos State, Abule Egba",Local Used,282326 km
Lexus NX 2015 Gray,"₦ 22,050,000","Lagos State, Amuwo-Odofin",Local Used,57392 km
Lexus ES 350 2007 Silver,"₦ 9,360,000","Abia State, Aba North",Local Used,178498 km
Toyota Corolla CE 2006 Silver,"₦ 4,536,000","Lagos State, Lekki",Local Used,2999999 km
Lexus RX 350 2021 Black,"₦ 57,750,000","Oyo State, Ibadan",Foreign Used,68905 km
Toyota Highlander 2003 Silver,"₦ 5,824,000","Rivers State, Port-Harcourt",Local Used,204849 km
Toyota Corolla 2007 Blue,"₦ 4,867,800","Abuja (FCT), Kubwa",Local Used,312695 km
Honda Accord 2015 Black,"₦ 9,240,000","Lagos State, Lekki",Local Used,112898 km
Toyota Corolla 2009 White,"₦ 11,232,000","Abuja (FCT), Gwarinpa",Foreign Used,163458 km
Acura MDX 2009 Black,"₦ 7,280,000","Lagos State, Ojodu",Local Used,12459 km
Toyota Ipsum 1998 White,"₦ 4,200,000","Oyo State, Ibadan",Local Used,310820 km
Toyota Corolla 2011 Black,"₦ 6,888,000","Lagos State, Ogudu",Local Used,256328 km
Toyota Corolla 2010 Silver,"₦ 11,440,000","Lagos State, Ogba",Foreign Used,237290 km
Toyota Corolla 1.8 VVTL-i TS Compressor 2007 Gold,"₦ 5,460,000","Lagos State, Magodo",Local Used,279590 km
Mercedes-Benz GLE-Class GLE 350 2016 Black,"₦ 21,000,000","Lagos State, Lekki",Local Used,83318 km
Toyota Avensis 2004 Silver,"₦ 4,935,000","Oyo State, Ibadan",Local Used,248810 km
Lexus GX 2016 Gray,"₦ 48,300,000","Lagos State, Surulere",Foreign Used,119898 km
Porsche Macan 2015 Black,"₦ 43,902,569","Lagos State, Lekki",Foreign Used,120597 km
Porsche Macan 2015 Black,"₦ 43,902,569","Lagos State, Lekki",Foreign Used,120597 km
Lexus ES 2009 Black,"₦ 7,875,000","Abia State, Umuahia",Local Used,109855 km
Lexus RX 350 2010 Gold,"₦ 22,880,000","Abuja (FCT), Lugbe District",Foreign Used,172534 km
